content,date,title,url
    7月16日上午，第四届中国“互联网+”大学生创新创业大赛重庆选拔赛暨2018永川国家双创示范基地“创响中国”活动开幕式在我校恪勤楼304会议室举行。市教委副巡视员李源田、市发改委高技术处副处长潘相麟、市科委科技平台处副处长李鹏，永川区人民政府区长罗清泉、副区长任伯平，我校领导孙泽平、黄伟九、漆新贵出席了大会。参加大会的还有来自全国各地的评委、专家，市科委，永川区府办、科委、高新区管委会、发改委、人力社保局、教委、科协、永川高新区凤凰湖产业园、港桥产业园、三教产业园、软件产业园等领导及各参赛高校有关负责人、领队、指导教师、项目负责人共计300余人。市教委高教处副处长吴岚主持了会议。,7月16日,第四届中国“互联网+”大学生创新创业大赛重庆选拔赛暨2018永川国家双创示范基地“创响中国”活动在我...,https://www.cqwu.edu.cn/article_269835.html
    7月10日，校长黄伟九分别在红河校区晚晴苑和星湖校区老年活动中心，为居住在两个校区的离退休老同志通报了学校近期工作情况。会议由教工部副部长黄贵懿主持，在永居住的180余名离退休人员参加了会议。,7月12日,学校召开离退休人员校情通报会,https://www.cqwu.edu.cn/article_269746.html
    7月4日下午，我校庆祝建党97周年暨“七一”表彰大会在恪勤楼304会议室举行。全体在校校领导和部分老领导，受表彰的先进集体代表和优秀个人，各党总支、支部书记，党员处级干部以及党员代表，共计300人参加大会。会议由党委副书记、校长黄伟九主持。 ,7月5日,我校举行庆祝建党97周年暨“七一”表彰大会,https://www.cqwu.edu.cn/article_269464.html
    为深入贯彻落实党的十九大精神，完善以宪法为核心的中国特色社会主义法律体系，提高当代大学生法治素养和道德素质，丰富宪法和法律教育形式。6月27日，由中共重庆文理学院委员会宣传部、共青团重庆文理学院委员会主办，学校易仲青年法学会承办的“学宪法 讲宪法”演讲比赛决赛在博文馆101圆满落幕。来自学工部、党群部、公共管理学院的教师担任比赛评委并与全校各院系学生共200余人观看了比赛。,6月29日,我校举行“学宪法 讲宪法”演讲比赛,https://www.cqwu.edu.cn/article_268774.html
    为进一步加强平安校园建设，促进警校深度融合，6月25日上午，学校副校长万书辉带领安全管理处相关人员，分别到永川区公安局凤凰湖派出所和卫星湖派出所开展慰问、调研工作。,6月25日,校领导带队慰问调研地方基层派出所,https://www.cqwu.edu.cn/article_268539.html
    6月20日，察雅县行政事业单位会计人员第二期专题培训班开班仪式在我校志仁楼114室举行。我校党委副书记、纪委书记李德全，重庆市财政局会计处处长李琦，我校教工部、培训学院、数学与财经学院相关负责人出席会议，察雅县行政事业单位会计人员第二期专题培训班的全体学员参加了开班仪式。开班仪式由我校培训学院党总支书记何云贵主持。,6月21日,智力援藏，培训专才——我校举办西藏察雅县行政事业单位会计人员第二期专题培训,https://www.cqwu.edu.cn/article_268367.html
    6月14日上午，学校全职聘请张根保教授签约仪式在恪勤楼504会议室举行。学校校长黄伟九，教工部部长周洪亮、副部长谢志刚，机电工程学院院长罗天洪出席签约仪式。签约仪式由周洪亮主持。,6月15日,博士生导师张根保教授加盟我校,https://www.cqwu.edu.cn/article_268183.html
    6月8日，大足区科委主任唐华俪一行到校调研交流。副校长王明华，科技部、合作发展部、新材料技术研究院、特色植物研究院、机电工程学院负责人和相关领域的研究人员参加了座谈会。,6月8日,大足区科委主任唐华俪一行到我校调研,https://www.cqwu.edu.cn/article_267889.html
    6月4日下午，学校与重庆古往今来虚拟现实技术研究院有限公司在恪勤楼308举行校企战略合作签约暨101教育PPT软件捐赠仪式。重庆古往今来虚拟现实技术研究院有限公司董事长周仁锋、重庆虚拟现实创新发展研究院副院长吴治平、重庆古往今来虚拟现实技术研究院有限公司董事长助理董一菲，学校副校长漆新贵，教学部、科技部、合作发展部、教育学院和教育创新研究院相关负责人参加了签约仪式。,6月7日,我校与重庆古往今来虚拟现实技术研究院有限公司举行战略合作签约暨101教育PPT软件捐赠仪式,https://www.cqwu.edu.cn/article_267738.html
    近日，在韩国邱礼举行的第17届韩国压花大典和压花国际交流比赛中，我校师生再获佳绩。林学与生命科学学院教师廖静与2015级园林专业学生陈前双合作作品《农家小院》获银奖，夏晶晖老师指导的2015级风景园林专业学生曹旭作品《歌乐山烈士群雕》获特选奖。,6月4日,我校师生压花艺术作品再获国际大奖,https://www.cqwu.edu.cn/article_267559.html
    5月25-26日，由《红旗文稿》杂志社、《思想理论教育导刊》编辑部、重庆市中国特色社会主义理论体系研究中心、重庆文理学院共同主办的第十一届中国特色社会主义论坛——“坚持和加强党的全面领导”高层研讨会在我校举行。,5月28日,第十一届中国特色社会主义论坛在我校举行,https://www.cqwu.edu.cn/article_265852.html
    重庆市“百人计划”入选者、我校新材料技术研究院李璐研究员因其在光学工程、光电材料与器件等领域取得的科技创新成绩和做出的突出贡献，在88名候选人中脱颖而出，荣获第三届“重庆市十佳科技青年奖”。,5月25日,我校李璐研究员荣获第三届“重庆市十佳科技青年奖”,https://www.cqwu.edu.cn/article_265829.html
    5月18日下午，南川区委统战部副部长、区知联会常务副会长陈永带领南川区知联会及南川企事业单位代表组成的考察团一行前来我校考察调研智能专业人才培养情况。永川区委统战部常务副部长、区民宗办主任陈治明，永川区委统战部副部长、区民宗办副主任、区台办副主任胡绍华，我校党委常委、党群部部长周文东，机电工程学院院长罗天洪等接待了考察团，并陪同参观了机电工程实训中心。,5月21日,南川区委统战部来校考察交流,https://www.cqwu.edu.cn/article_264173.html
5月9日至11日，由我校旅游学院筹办的第十一届重庆·永川学生用品展览会在红河校区学海广场举行， 40余家商户参加了展销活动。,5月15日,我校举办第十一届重庆?永川学生用品展览会,https://www.cqwu.edu.cn/article_256672.html
为广泛宣传改革开放40年来党和国家，以及学校建设发展取得的辉煌成就，充分展示新时代“文理人”的良好精神面貌，5月9日下午，重庆文理学院纪念改革开放40周年暨“面对面交流”400期座谈会在恪勤楼422会议室举行。学校党委书记孙泽平，校务部、教工部、党群部、学工部、教学部、新叶公司、博达公司负责人，二级学院分管学生工作党总支书记（副书记）以及部分学生代表参加了本次交流活动。本次交流以“不忘初心前行路，携手共筑文理梦”为主题，由校务部部长董刚主持。,5月10日,学校举行纪念改革开放40周年暨“面对面”交流400期座谈会,https://www.cqwu.edu.cn/article_254734.html
    5月2日下午，“2017级卓越教师教育实验班开班仪式暨学员与校领导面对面交流活动”在红河校区知津楼D506举行。教学部相关负责人，2017级卓越班有关教师以及全体学员共约100人参加了开班仪式暨交流活动。活动由副校长漆新贵主持。,5月4日,学校举行2017级卓越教师教育实验班开班仪式暨学员与校领导面对面交流活动,https://www.cqwu.edu.cn/article_252436.html
